subject,topic,question,A,B,C,D,answer,explanation
Sinh lý,Điều hòa bằng cơ chế thần kinh,Receptor xúc giác có ở đỉnh các gai da và cảm nhận va chạm nhẹ:,Tiểu thể Ruffini,Tiểu thể Pacini,Tiểu thể Meissner,Đĩa Merkel,C,"Theo book_16_SinhLyThanKinhCamGiac_raw.docx, + Tiểu thể Meissner ở đinh các gai da.. Vì vậy đáp án C (Tiểu thể Meissner) là phù hợp với nội dung bài."
Sinh lý,Điều hòa bằng cơ chế thần kinh,Hạch giao cảm nằm ở vị trí:,"Gần tạng, xa trung tâm","Gần trung tâm, xa tạng",Trong tủy sống,Trong não giữa,B,"Theo book_17_SinhLyTKVanDong_raw.docx, Hệ giao cảm: Hạch giao cảm nằm gần trung tâm, xa tạng; Hệ phó giao cảm: Hạch phó giao cảm nằm gần tạng, xa trung tâm. Vì vậy đáp án B (Gần trung tâm, xa tạng) là phù hợp với nội dung bài."
Sinh lý,Điều hòa bằng cơ chế thần kinh,Chất trung gian tại synap thần kinh-cơ là:,Acetylcholin,Adrenalin,Glutamat,Noradrenalin,A,"Theo DeCuong2025_SinhLyThanKinh.docx, Các sợi thần kinh giao cảm và phó giao cảm bài tiết một trong hai chất truyền đạt thần kinh là noradrenalin và acetylcholin. Vì vậy đáp án A (Acetylcholin) là phù hợp với nội dung bài."
Sinh lý,Điều hòa bằng cơ chế thần kinh,Cảm giác đau mạn được dẫn truyền bởi sợi:,B,Aβ,C,Aδ,C,"Theo DeCuong2025_SinhLyThanKinh.docx, + Loại sợi C không có myelin: dẫn truyền chậm cảm giác đau mạn.. Vì vậy đáp án C (C) là phù hợp với nội dung bài."
Sinh lý,Điều hòa bằng cơ chế thần kinh,Cấu trúc chịu trách nhiệm truyền cảm giác nhiệt đến đồi thị:,Bó gai cổ,Bó gai lưới,Bó gai thị sau,Bó gai thị trước,D,"Theo book_16_SinhLyThanKinhCamGiac_raw.docx, Bó gai thị trước: sợi nhỏ, không có myelin, dẫn truyền chậm cảm giác xúc giác thô sơ. Đường dẫn truyền:. Vì vậy đáp án D (Bó gai thị trước) là phù hợp với nội dung bài."
Sinh lý,Điều hòa bằng cơ chế thần kinh,"Trong dẫn truyền xung động, tốc độ dẫn truyền tỷ lệ thuận với yếu tố:",Chiều dài sợi trục,Số lượng receptor,Đường kính sợi trục,Số lượng synap,C,"Theo book_15_SinhLyNoRonSyNap_raw.docx, Tốc độ dẫn truyền tỷ lệ thuận với đường kính sợi trục.. Vì vậy đáp án C (Đường kính sợi trục) là phù hợp với nội dung bài."
Sinh lý,Điều hòa bằng cơ chế thần kinh,Đặc điểm của sợi hậu hạch phó giao cảm là:,Dài và không có myelin,Ngắn và không có myelin,Dài và myelin hóa,Ngắn và myelin hóa,B,"Theo DeCuong2025_SinhLyThanKinh.docx, Hệ giao cảm: Sợi tiền hạch ngắn, sợi hậu hạch dài; Hệ phó giao cảm: Sợi tiền hạch dài, sợi hậu hạch ngắn. Vì vậy đáp án B (Ngắn và không có myelin) là phù hợp với nội dung bài."
Sinh lý,Điều hòa bằng cơ chế thần kinh,Vai trò của vỏ não trong phản xạ có điều kiện:,Tổ chức và lưu giữ đường liên lạc,Giảm cảm xúc,Tăng tiết hormon,Điều chỉnh phản xạ không điều kiện,A,"Theo book_19_SinhLyTKCaoCap_raw.docx, Như vậy, phản xạ có điều kiện được xây dựng trên cơ sở một đường liên lạc tạm thời giữa hai điểm hưng phấn trên vỏ não do một kích thích có điều kiện và một kích thích không điều kiện gây ra..... Vì vậy đáp án A (Tổ chức và lưu giữ đường liên lạc) là phù hợp với nội dung bài."
Sinh lý,Điều hòa bằng cơ chế thần kinh,Tác dụng kéo dài của adrenaline trong máu là do:,Chậm chuyển hóa,Có ái lực cao với receptor,Tác động qua hệ enzyme phân hủy chậm,Không bị phân giải,C,"Theo book_15_SinhLyNoRonSyNap_raw.docx, Tác dụng chậm, kéo dài.. Vì vậy đáp án C (Tác động qua hệ enzyme phân hủy chậm) là phù hợp với nội dung bài."
Da liễu,Thương tổn căn bản,Khám lâm sàng trong bệnh da để:,Tìm sang thương cơ bản,Mô tả sang thương cơ bản,Cách sắp xếp và mô tả thương tổn trên cơ thể,Tất cả đều đúng,D,"Khám lâm sàng bệnh da chính là tìm, mô tả thương tổn căn bản, cách sắp xếp và phân bố thương tổn trên cơ thể."
Da liễu,Thương tổn căn bản,Thương tổn căn bản là thương tổn:,"Ngoài da, đặc tính còn giữ nguyên dạng","Ngoài da, đặc tính không còn giữ nguyên dạng","Trong da, đặc tính còn giữ nguyên dạng","Trong da, đặc tính không còn giữ nguyên dạng",A,Thương tổn căn bản là thương tổn ngoài da mà đặc tính của nó còn giữ nguyên vẹn.
Da liễu,Thương tổn căn bản,"Dựa vào tiến triển, tổn thương da có thể chia thành:",2 loại,3 loại,4 loại,5 loại,A,Dựa vào tiến triển thương tổn da có thể chia làm hai loại: nguyên phát và thứ phát.
Da liễu,Thương tổn căn bản,"Dựa vào mặt phẳng da, tổn thương da chia thành các loại, NGOẠI TRỪ:",Ngang mặt da,Trên mặt da,Dưới mặt da,Ẩn trong da,D,"Dựa vào mặt phẳng da chia làm ba nhóm chính: ngang mặt da, trên mặt da và dưới mặt da."
Da liễu,Thương tổn căn bản,"Thương tổn nguyên phát, NGOẠI TRỪ:",Dát,Sùi,Sẩn,Vết nứt,D,Vết nứt: Thương tổn thứ phát
Da liễu,Thương tổn căn bản,"Thương tổn nguyên phát, NGOẠI TRỪ:",Nang,Củ,Cứng da,Sừng,C,Cứng da: Thương tổn thứ phát
Da liễu,Thương tổn căn bản,"Thương tổn nguyên phát, NGOẠI TRỪ:",Dát,Sẹo,Sẩn,Củ,B,Sẹo: Thương tổn thứ phát
Da liễu,Thương tổn căn bản,"Thương tổn nguyên phát, NGOẠI TRỪ:",Mụn nước,Bóng nước,Teo da,Sẩn,C,Teo da: Thương tổn thứ phát
Da liễu,Thương tổn căn bản,"Dựa vào mặt phẳng da, tổn thương da có thể chia thành:",2 nhóm,3 nhóm,4 nhóm,5 nhóm,B,"Dựa vào mặt phẳng da chia làm ba nhóm chính: ngang mặt da, trên mặt da và dưới mặt da."
Da liễu,Thương tổn căn bản,"Dát có đặc điểm, NGOẠI TRỪ:",Thay đổi màu sắc da và bằng với mặt da,Có kích thước và hình dạng bất kỳ,Mụn nước là một thuật ngữ phổ biến để mô tả sang thương dát,Là hậu quả của sự tăng hoặc giảm sắc tố,C,"Trong mô tả thương tổn dát, hồng ban là một thuật ngữ phổ biến."
Da liễu,Thương tổn căn bản,Đặc điểm của dát là:,Có kích thước và hình dạng bất kỳ,Thay đổi màu sắc da và nhô lên mặt da,"Rất hay gặp trong bệnh ghẻ, zona, thủy đậu","Có màu như sữa, màu vàng hoặc màu vàng hơi xanh",A,"Theo bài giảng, Có kích thước và hình dạng bất kỳ là mô tả đúng nhất cho câu hỏi này."
Da liễu,Thương tổn căn bản,"Đặc điểm của dát, NGOẠI TRỪ:",Thay đổi màu sắc da và nhô lên mặt da,Có kích thước và hình dạng bất kỳ,Là hậu quả của sự tăng hoặc giảm sắc tố,Hồng ban là một thuật ngữ phổ biến trong mô tả thương tổn dát,A,Dát: bằng với mặt da.
Da liễu,Thương tổn căn bản,"Đặc điểm của dát, NGOẠI TRỪ:",Thay đổi màu sắc da và bằng với mặt da,Có kích thước và hình dạng cố định,Là hậu quả của sự tăng hoặc giảm sắc tố,Hồng ban là một thuật ngữ phổ biến trong mô tả thương tổn dát,B,"Dát có kích thước, hình dạng bất kỳ."
Da liễu,Thương tổn căn bản,"Đặc điểm của dát, NGOẠI TRỪ:",Thay đổi màu sắc da và bằng với mặt da,Có kích thước và hình dạng bất kỳ,Là hậu quả của sự tăng sắc tố,Hồng ban là một thuật ngữ phổ biến trong mô tả thương tổn dát,C,Dát là hậu quả của sự tăng hoặc giảm sắc tố
Da liễu,Thương tổn căn bản,"Đặc điểm của dát, NGOẠI TRỪ:",Thay đổi màu sắc da và bằng với mặt da,Có kích thước và hình dạng bất kỳ,Là hậu quả của sự giảm sắc tố,Hồng ban là một thuật ngữ phổ biến trong mô tả thương tổn dát,C,Dát là hậu quả của sự tăng hoặc giảm sắc tố
Da liễu,Thương tổn căn bản,"Đặc điểm của dát, NGOẠI TRỪ:",Thay đổi màu sắc da và bằng với mặt da,Có kích thước và hình dạng bất kỳ,Là hậu quả của sự tăng hoặc giảm sắc tố,Hồng ban là thuật ngữ duy nhất để mô tả thương tổn dát,D,"Trong mô tả thương tổn dát, hồng ban là một thuật ngữ phổ biến."
Da liễu,Thương tổn căn bản,Thuật ngữ phổ biến trong mô tả sang thương dát là:,Hồng ban,Mụn nước,Bóng nước,Vảy,A,"Trong mô tả thương tổn dát, hồng ban là một thuật ngữ phổ biến."
Da liễu,Thương tổn căn bản,Hồng ban trong sang thương dát thường có màu:,Hồng,Sậm màu,Tím,Màu sắc đa dạng tùy thuộc vào bệnh,D,Màu sắc của một thương tổn hồng ban trong dát tương đối đa dạng
Da liễu,Thương tổn căn bản,Mụn nước là thương tổn:,"Bằng với bề mặt da, bên trong chứa mủ","Bằng với bề mặt da, bên trong chứa thanh dịch","Nhô cao trên mặt da, bên trong chứa mủ","Nhô cao trên mặt da, bên trong chứa thanh dịch",D,"Mụn nước là thương tổn nhô cao trên mặt da, bên trong chứa thanh dịch, đường kính nhỏ hơn hoặc bằng 5mm."
Da liễu,Thương tổn căn bản,Mụn nước có thể gặp trong:,"Chàm, chốc","Tổ đỉa, ghẻ","Herpes, zona, thủy đậu",Tất cả đều đúng,D,"Mụn nước có thể gặp trong bệnh chàm, chốc, tổ đỉa, ghẻ, herpes, zona, thủy đậu."
Da liễu,Thương tổn căn bản,"Mụn nước có đặc điểm, NGOẠI TRỪ:",Là thương tổn nhô cao trên bề mặt da,Bên trong chứa thanh dịch,Đường kính nhỏ hơn hoặc bằng 5 mm,Khó vỡ do có thành collagen dày,D,"Mụn nước là thương tổn nhô cao trên mặt da, bên trong chứa thanh dịch, đường kính nhỏ hơn hoặc bằng 5mm. Câu: Khó vỡ... không xuất hiện trong bài giảng"
Da liễu,Thương tổn căn bản,"Mụn nước có đặc điểm, NGOẠI TRỪ:",Là thương tổn nhô cao trên bề mặt da,Bên trong chứa mủ,Đường kính nhỏ hơn hoặc bằng 5 mm,Có thể vỡ ra rỉ dịch hoặc khô lại đóng mày,B,Mụn nước: chứa thanh dịch
Da liễu,Thương tổn căn bản,"Mụn nước có đặc điểm, NGOẠI TRỪ:",Là thương tổn ẩn dưới bề mặt da,Bên trong chứa thanh dịch,Đường kính nhỏ hơn hoặc bằng 5 mm,Có thể vỡ ra rỉ dịch hoặc khô lại đóng mày,A,Mụn nước là thương tổn nhô cao trên mặt da
Da liễu,Thương tổn căn bản,"Mụn nước có đặc điểm, NGOẠI TRỪ:",Là thương tổn nhô cao trên bề mặt da,Bên trong chứa thanh dịch,Đường kính lớn hơn hoặc bằng 5 mm,Có thể vỡ ra rỉ dịch hoặc khô lại đóng mày,C,Mụn nước đường kính nhỏ hơn hoặc bằng 5mm
Da liễu,Thương tổn căn bản,Bóng nước là thương tổn:,"Bằng với bề mặt da, bên trong chứa dịch trong hoặc đục","Bằng với bề mặt da, bên trong chứa thanh dịch","Nhô cao trên mặt da, bên trong chứa dịch trong hoặc đục","Nhô cao trên mặt da, bên trong chứa thanh dịch",C,"Bóng nước là thương tổn nhô cao trên mặt da, bên trong chứa dịch trong như thanh dịch, đục như mủ, máu... đường kính > 5mm."
Da liễu,Thương tổn căn bản,Đường kính của bóng nước:,Nhỏ hơn 5 mm,Bằng 5 mm,Lớn hơn 5 mm,Tất cả đều sai,C,Bóng nước đường kính > 5mm.
Da liễu,Thương tổn căn bản,Bóng nước thường gặp trong bệnh:,Chàm,Chốc,Herpes,Thủy đậu,B,"Bệnh có bóng nước thường gặp như chốc, Duhring, pemphigus, pemphigoid, hồng ban đa dạng."
Da liễu,Thương tổn căn bản,"Bóng nước có đặc điểm, NGOẠI TRỪ:",Là thương tổn nhô cao trên mặt da,Bên trong chứa dịch trong hoặc đục,Đường kính lớn hơn 5 mm,Khi lành sẽ để lại sẹo,D,"Bóng nước có thể căng, hoặc chùng, khi vỡ ra để lại vết trợt bề mặt đỏ ẩm hoặc rỉ dịch có thể có viền vảy, sau đó khô lại đóng mày --> vỡ không để lại sẹo"
Da liễu,Thương tổn căn bản,"Bóng nước có đặc điểm, NGOẠI TRỪ:",Là thương tổn ẩn dưới bề mặt da,Bên trong chứa dịch trong hoặc đục,Đường kính lớn hơn 5 mm,"Có thể căng, hoặc chùng, khi vỡ ra để lại vết trợt",A,Bóng nước là thương tổn nhô cao trên mặt da
Da liễu,Thương tổn căn bản,"Bóng nước có đặc điểm, NGOẠI TRỪ:",Là thương tổn nhô cao trên mặt da,Bên trong chứa dịch trong hoặc đục,Đường kính nhỏ hơn hoặc bằng 5 mm,"Có thể căng, hoặc chùng, khi vỡ ra để lại vết trợt",C,Bóng nước đường kính > 5mm.
Da liễu,Thương tổn căn bản,Mụn mủ là thương tổn:,"Bằng với bề mặt da, bên trong chứa mủ","Bằng với bề mặt da, bên trong chứa thanh dịch","Nhô cao trên bề mặt da, bên trong chứa mủ","Nhô cao trên mặt da, bên trong chứa thanh dịch",C,"Mụn mủ: nhô cao trên mặt da, bên trong chứa mủ."
Da liễu,Thương tổn căn bản,Mụn mủ có đặc điểm:,Là thương tổn bằng với bề mặt da,Bên trong có chứa mủ,Thường có hình dáng và kích thước cố định,Tất cả đều đúng,B,"Theo bài giảng, Bên trong có chứa mủ là mô tả đúng nhất cho câu hỏi này."
Da liễu,Thương tổn căn bản,"Mụn mủ có đặc điểm, NGOẠI TRỪ:",Là thương tổn nhô cao trên bề mặt da,Bên trong có chứa mủ,Thường thay đổi về hình dáng và kích thước,Mủ thường có màu đen hoặc màu sôcôla,D,"Mủ trong mụn mủ có màu như sữa, màu vàng hoặc màu vàng hơi xanh."
Da liễu,Thương tổn căn bản,Mụn mủ dưới lớp sừng:,"Sâu, căng hay chùng, do nhiễm trùng","Sâu, căng hay chùng, không do nhiễm trùng","Nông, căng hay chùng, do nhiễm trùng","Nông, căng hay chùng, không do nhiễm trùng",D,"Mụn mủ dưới lớp sừng thường nông có hình bán cầu, có thể căng hoặc chùng, không do nhiễm như vảy nến mủ, do nhiễm như chốc."
Da liễu,Thương tổn căn bản,Mụn mủ nang lông:,"Nông, căng hay chùng, do nhiễm trùng","Nông, căng hay chùng, không do nhiễm trùng","Nhọn đầu, có sợi lông ở trung tâm","Đầu tù, có sợi lông ở trung tâm",C,Mụn mủ nang lông thường nhọn đầu và trung tâm có sợi lông
Da liễu,Thương tổn căn bản,"Mụn mủ có đặc điểm, NGOẠI TRỪ:",Là thương tổn nhô cao trên bề mặt da,Bên trong có chứa mủ,Hình dáng và kích thước cố định,"Mủ thường có màu như sữa, màu vàng hoặc màu vàng hơi xanh",C,Mụn mủ có thể thay đổi về kích thước và hình dạng.
Da liễu,Thương tổn căn bản,"Mụn mủ có đặc điểm, NGOẠI TRỪ:",Là thương tổn ẩn dưới bề mặt da,Bên trong có chứa mủ,Thường thay đổi về hình dáng và kích thước,"Mủ thường có màu như sữa, màu vàng hoặc màu vàng hơi xanh",A,Mụn mủ là thương tổn nhô cao trên mặt da
Da liễu,Thương tổn căn bản,"Mụn mủ có đặc điểm, NGOẠI TRỪ:",Là thương tổn nhô cao trên bề mặt da,Bên trong có chứa dịch trong hoặc đục,Thường thay đổi về hình dáng và kích thước,"Mủ thường có màu như sữa, màu vàng hoặc màu vàng hơi xanh",B,Mụn mủ là thương tổn nhô cao trên mặt da bên trong chứa mủ
Da liễu,Thương tổn căn bản,Sẩn là thương tổn:,"Bằng với bề mặt da, bên trong chứa chất đặc","Bằng với bề mặt da, bên trong chứa mủ","Nhô cao trên bề mặt da, bên trong chứa chất đặc","Nhô cao trên bề mặt da, bên trong chứa thanh dịch",C,"Sẩn là thương tổn nhô cao trên mặt da, bên trong chứa chất đặc, sờ chắc hoặc mềm, đường kính lên đến 1cm"
Da liễu,Thương tổn căn bản,Sẩn có đường kính:,Nhỏ hơn 5 mm,Nhỏ hơn hoặc bằng 5 mm,Lên đến 1 cm,Bằng 5 mm,C,"Sẩn là thương tổn nhô cao trên mặt da, bên trong chứa chất đặc, sờ chắc hoặc mềm, đường kính lên đến 1cm."
Da liễu,Thương tổn căn bản,Sẩn có màu hồng hoặc đỏ gặp trong các bệnh lý:,Vảy nến,Mày đay,Mụn trứng cá,Tất cả đều đúng,D,"Màu sắc sẩn có thể trắng như hạt kê, vàng như ban vàng ở mắt, hồng, đỏ như vảy nến, mày đay, mụn trứng cá, tím như lichen phẳng hoặc nâu như lichen amyloid."
Da liễu,Thương tổn căn bản,Mảng là:,Sẩn trên 1 cm,Tập hợp nhiều sẩn,"Cả a, b đều sai","Cả a, b đều đúng",D,Sẩn trên 1cm gọi là mảng hoặc tập hợp nhiều sẩn thành mảng (plaque)
Da liễu,Thương tổn căn bản,Sẩn do tăng sản tế bào thượng bì thường gặp trong bệnh lý:,Mụn cóc phẳng,Giang mai,Vảy phấn đỏ nang lông,Tất cả đều đúng,A,Sẩn do tăng sản tế bào thượng bì gặp trong mụn cóc phẳng.
Da liễu,Thương tổn căn bản,Sẩn bì thường gặp trong bệnh lý:,Mụn cóc phẳng,Giang mai,Vảy phấn đỏ nang lông,Tất cả đều đúng,B,Sẩn bì do tẩm nhuận tế bào vào lớp bì như sẩn giang mai.
Da liễu,Thương tổn căn bản,Sẩn do tăng sinh quanh lỗ chân lông thường gặp trong bệnh lý:,Mụn cóc phẳng,Giang mai,Vảy phấn đỏ nang lông,Tất cả đều đúng,C,"Sẩn do tăng sinh quanh lỗ chân lông gặp trong dày sừng nang lông, vảy phấn đỏ nang lông."
Da liễu,Thương tổn căn bản,Sẩn phù là do tích tụ:,Máu,Mủ,Chất đặc,Huyết thanh,D,"Sẩn do tích tụ huyết thanh còn gọi là phù (Wheal, Hive)."
Da liễu,Thương tổn căn bản,Sẩn có các dạng:,Sẩn do tăng sản tế bào thượng bì,Sẩn bì,Sẩn phù,Tất cả đều đúng,D,"Sẩn do tăng sản tế bào thượng bì gặp trong mụn cóc phẳng. Sẩn bì do tẩm nhuận tế bào vào lớp bì như sẩn giang mai. Sẩn do tăng sinh quanh lỗ chân lông gặp trong dày sừng nang lông, vảy phấn đỏ nang lông. Sẩn do tích tụ huyết thanh còn gọi là phù (Wheal, Hive)."
Da liễu,Thương tổn căn bản,"Sẩn có đặc điểm, NGOẠI TRỪ:",Là thương tổn ẩn dưới bề mặt da,Bên trong chứa chất đặc,"Sờ chắc hoặc mềm, đường kính lên đến 1 cm","Có thể có màu trắng, vàng, hồng",A,Sẩn là thương tổn nhô cao trên mặt da
Da liễu,Thương tổn căn bản,"Sẩn có đặc điểm, NGOẠI TRỪ:",Là thương tổn nhô cao trên bề mặt da,Bên trong chứa thanh dịch,"Sờ chắc hoặc mềm, đường kính lên đến 1 cm","Có thể có màu trắng, vàng, hồng",B,"Sẩn: bên trong chứa chất đặc, sờ chắc"
Da liễu,Thương tổn căn bản,"Sẩn có đặc điểm, NGOẠI TRỪ:",Là thương tổn nhô cao trên bề mặt da,Bên trong chứa chất đặc,Đường kính nhỏ hơn hoặc bằng 5 mm,"Có thể có màu trắng, vàng, hồng",C,Sẩn: đường kính lên đến 1cm.
Da liễu,Thương tổn căn bản,"Sẩn có đặc điểm, NGOẠI TRỪ:",Là thương tổn nhô cao trên bề mặt da,Bên trong chứa chất đặc,"Sờ chắc hoặc mềm, đường kính lên đến 1 cm",Thường có màu sắc cố định,D,"Đặc điểm Thường có màu sắc cố định không được đề cập trong bài sẩn, 3 đặc điểm kia thì đúng"
Da liễu,Thương tổn căn bản,"Sẩn có các dạng lâm sàng, NGOẠI TRỪ:",Sẩn do tăng sản tế bào thượng bì,Sẩn bì,Sẩn ướt,Sẩn phù,C,Sẩn ướt không được đề cập
Da liễu,Thương tổn căn bản,Củ là thương tổn:,"Tổn thương ở phần sâu của lớp bì, lành để lại sẹo","Tổn thương ở phần sâu của lớp bì, lành không để lại sẹo","Tổn thương ở phần nông của lớp bì, lành để lại sẹo","Tổn thương ở phần nông của lớp bì, lành không để lại sẹo",A,"Củ là thương tổn tương tự như sẩn nhưng thâm nhiễm tế bào xảy ra ở phần sâu của lớp bì, tiến triển chậm, lành để lại sẹo."
Da liễu,Thương tổn căn bản,Củ là thương tổn nhô cao trên bề mặt da:,Lupus lao,Phong,Giang mai thời kỳ III,Tất cả đều đúng,D,"Củ có thể gặp trong các bệnh lupus lao, phong, giang mai thời kỳ III."
Da liễu,Thương tổn căn bản,"Củ có đặc điểm, NGOẠI TRỪ:",Lành không để lại sẹo,Tổn thương ở phần sâu của lớp bì,Tiến triển chậm,Củ có thể nhô cao trên bề mặt da hoặc bằng với mặt da,A,"Củ: tiến triển chậm, lành để lại sẹo."
Da liễu,Thương tổn căn bản,"Củ có đặc điểm, NGOẠI TRỪ:",Lành để lại sẹo,Tổn thương ở phần nông của lớp bì,Tiến triển chậm,Là thương tổn nhô cao trên bề mặt da hoặc bằng với mặt da,B,Củ: thâm nhiễm tế bào xảy ra ở phần sâu của lớp bì.
Da liễu,Thương tổn căn bản,"Củ có đặc điểm, NGOẠI TRỪ:",Lành để lại sẹo,Tổn thương ở phần sâu của lớp bì,Tiến triển nhanh,Là thương tổn nhô cao trên bề mặt da hoặc bằng với mặt da,C,"Củ: tiến triển chậm, lành để lại sẹo."
Da liễu,Thương tổn căn bản,"Củ có đặc điểm, NGOẠI TRỪ:",Lành để lại sẹo,Tổn thương ở phần sâu của lớp bì,Tiến triển chậm,Là thương tổn ẩn dưới bề mặt da,D,Củ có thể nhô cao trên mặt da hoặc bằng với mặt da.
Da liễu,Thương tổn căn bản,Cục là thương tổn:,"Nhô cao trên bề mặt da, nằm sâu trong bì - hạ bì","Dưới bề mặt da, nằm sâu trong bì - hạ bì","Cả a, b đều sai","Cả a, b đều đúng",D,"Theo bài giảng, Cả a, b đều đúng là mô tả đúng nhất cho câu hỏi này."
Da liễu,Thương tổn căn bản,"Cục có đặc điểm, NGOẠI TRỪ:",Nhô cao trên bề mặt da,Dưới bề mặt da,Nằm sâu trong bì - hạ bì,Thường phát hiện cục bằng nhìn hơn là sờ nắn,D,Người khám thường phát hiện cục bằng cách sờ nắn hơn là nhìn.
Da liễu,Thương tổn căn bản,Gôm là cục có tính chất:,Viêm cấp hay mạn tính,Viêm bán cấp hay mạn tính,Viêm cấp hay bán cấp,Tất cả đều sai,B,Gôm (gomme) là cục có tính chất viêm bán cấp hoặc mạn tính do thâm nhiễm tế bào ở lớp bì-hạ bì kèm với viêm mạch.
Da liễu,Thương tổn căn bản,"Cục có đặc điểm, NGOẠI TRỪ:",Là thương tổn bằng với bề mặt da,Tổn thương ở phần sâu của lớp bì - hạ bì,Thường phát hiện cục bằng sờ nắn hơn là nhìn,Gôm là cục có tính chất viêm bán cấp hoặc mạn tính,A,Cục có thể nhô cao trên mặt da hoặc dưới mặt da.
Da liễu,Thương tổn căn bản,"Cục có đặc điểm, NGOẠI TRỪ:",Là thương tổn nhô cao trên mặt da hoặc dưới mặt da,Tổn thương ở phần nông của lớp bì - hạ bì,Thường phát hiện cục bằng sờ nắn hơn là nhìn,Gôm là cục có tính chất viêm bán cấp hoặc mạn tính,B,Cục nằm sâu trong bì-hạ bì.
Da liễu,Thương tổn căn bản,"Cục có đặc điểm, NGOẠI TRỪ:",Là thương tổn nhô cao trên mặt da hoặc dưới mặt da,Tổn thương ở phần sâu của lớp bì - hạ bì,Thường phát hiện cục bằng sờ nắn hơn là nhìn,Gôm là cục có tính chất viêm bán cấp,D,Gôm (gomme) là cục có tính chất viêm bán cấp hoặc mạn tính do thâm nhiễm tế bào ở lớp bì-hạ bì kèm với viêm mạch.
Da liễu,Thương tổn căn bản,"Gôm có đặc điểm, NGOẠI TRỪ:",Là tình trạng viêm bán cấp hay mạn tính,Khi lành không để lại sẹo,Nằm sâu trong bì - hạ bì,Khi vỡ ra tạo thành vết loét sâu,B,"Gôm lúc đầu cứng sau đó mềm, da trên bề mặt trở nên đỏ tím rồi vỡ ra tạo thành vết loét sâu khi lành để lại sẹo."
Da liễu,Thương tổn căn bản,Sùi là thương tổn:,Trên bề mặt có hồng ban mụn nước,"Thường gặp trong bệnh zona, thủy đậu",Có giới hạn hay trải rộng,Tất cả đều đúng,C,"Sùi là thương tổn nhô cao trên mặt da có giới hạn hoặc trải rộng, trên bề mặt có các nhú."
Da liễu,Thương tổn căn bản,Trên bề mặt sùi thường có:,Dát,Nhú,Hồng ban,Vết loét,B,"Sùi là thương tổn nhô cao trên mặt da có giới hạn hoặc trải rộng, trên bề mặt có các nhú."
Da liễu,Thương tổn căn bản,Sừng thường gặp trong các bệnh:,Mào gà,Viêm da mủ sùi,Mụn cóc,Ghẻ,C,Sừng là một khối của những tế bào hóa sừng. Ví dụ như mụn cóc.
Da liễu,Thương tổn căn bản,Nang là túi được lót bởi:,"Biểu mô, bên trong chứa chất đặc","Biểu mô, bên trong chứa dịch","Biểu mô, bên trong chứa mủ",Tất cả đều sai,B,Nang là túi được lót bởi biểu mô bên trong chứa dịch
Da liễu,Thương tổn căn bản,Thương tổn thường gặp của bệnh lang ben là:,Mụn nước,Sẩn,Dát,Vảy tiết,C,"Dát có thể là hậu quả của sự tăng hoặc giảm sắc tố như tàn nhang, rám má, hồng ban sắc tố cố định, bạch biến, lang ben, phong bất định."
Da liễu,Thương tổn căn bản,Thương tổn thường gặp của chàm là:,"Hồng ban, mụn nước",Mụn mủ,Vết loét,"Sùi, sừng",A,"Mụn nước có thể gặp trong bệnh chàm, chốc, tổ đỉa, ghẻ, herpes, zona, thủy đậu."
Da liễu,Thương tổn căn bản,Thương tổn nào không phải là thương tổn nguyên phát:,Dát,Sẩn,Cục,Mày,D,Mày: Thứ phát
Da liễu,Thương tổn căn bản,Thương tổn nào là thương tổn nguyên phát:,Vảy da,Sùi,Mày,Teo da,B,Sùi: Nguyên phát
Da liễu,Thương tổn căn bản,Thương tổn nào khi ấn có cảm giác lình bình:,Cục,Gôm,Nang,Tất cả đều đúng,C,Nang: khi ấn có cảm giác lình bình giống như khi ấn nhãn cầu.
Da liễu,Thương tổn căn bản,Bệnh lý nào có thể lây khi tiếp xúc:,Mụn cóc,Mụn trứng cá,Mào gà,Vảy nến,C,Mào gà: Lây khi tiếp xúc
Da liễu,Thương tổn căn bản,"Bệnh lý lây khi tiếp xúc, NGOẠI TRỪ:",Mào gà,Thủy đậu,Ghẻ,Chàm,D,Chàm: không lây khi tiếp xúc
Da liễu,Thương tổn căn bản,"Bệnh lý lây khi tiếp xúc, NGOẠI TRỪ:",Vảy nến,Phong,Mào gà,Thủy đậu,A,Vảy nến: không lây khi tiếp xúc
Da liễu,Thương tổn căn bản,Bệnh lý nào có thương tổn mụn mủ vô trùng:,Chốc,Chàm,Mụn trứng cá,Vảy nến mủ,D,"Mụn mủ dưới lớp sừng thường nông có hình bán cầu, có thể căng hoặc chùng, không do nhiễm như vảy nến mủ"
Da liễu,Thương tổn căn bản,"Gôm có thể gặp trong các bệnh lý, NGOẠI TRỪ:",Lao,Giang mai,Nấm,Đỏ da toàn thân,D,"Gôm gặp trong: gôm lao, gôm giang mai, gôm nấm (gặp trong nấm sâu Sporotrichose)."
Da liễu,Thương tổn căn bản,"Thương tổn thứ phát, NGOẠI TRỪ:",Mụn nước,Vảy da,Mày,Vết xước,A,Mụn nước: nguyên phát
Da liễu,Thương tổn căn bản,"Thương tổn thứ phát, NGOẠI TRỪ:",Vảy da,Dát,Vết xước,Vết nứt,B,Dát: nguyên phát
